latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
-20.75751,-61.46669,306.4,0.4,0.44,2018-10-19,0456,N,VIIRS,n,1,271.8,0.7,0
-24.06836,-59.69946,297.5,0.52,0.5,2018-10-20,0438,N,VIIRS,n,1,275.4,0.8,0
-24.15405,-59.42171,300.5,0.5,0.49,2018-10-20,0438,N,VIIRS,n,1,275,1.1,0
-27.37435,-56.90167,337.5,0.44,0.46,2018-10-20,1704,N,VIIRS,n,1,294.5,3.9,0
-27.14478,-57.97736,341.8,0.51,0.49,2018-10-20,1704,N,VIIRS,n,1,297.4,4.6,0
-27.14139,-57.97881,340.2,0.51,0.49,2018-10-20,1704,N,VIIRS,n,1,296,7.5,0
-26.57525,-56.94224,328.8,0.44,0.46,2018-10-20,1704,N,VIIRS,n,1,297.7,2.9,0
-26.42795,-56.03046,330.8,0.39,0.44,2018-10-20,1704,N,VIIRS,n,1,295.1,3.1,0
-26.46373,-57.01462,331.5,0.44,0.46,2018-10-20,1705,N,VIIRS,n,1,297.4,3.8,0
-25.67155,-56.63451,331.2,0.41,0.45,2018-10-20,1705,N,VIIRS,n,1,297.8,4.8,0
-23.93887,-55.79611,331.8,0.53,0.42,2018-10-20,1705,N,VIIRS,n,1,299,3.1,0
-24.12802,-57.77403,331.7,0.46,0.47,2018-10-20,1705,N,VIIRS,n,1,289.4,3.1,0
-23.82344,-55.47413,344.3,0.51,0.41,2018-10-20,1705,N,VIIRS,n,1,300,7,0
-24.18168,-59.13184,340.3,0.56,0.51,2018-10-20,1705,N,VIIRS,n,1,289.5,9.5,0
-24.18285,-59.13403,348.5,0.55,0.51,2018-10-20,1705,N,VIIRS,n,1,290.9,11,0
-23.58308,-59.41235,352.5,0.57,0.52,2018-10-20,1705,N,VIIRS,n,1,295.1,9.2,0
-23.58036,-59.41348,335.6,0.57,0.52,2018-10-20,1705,N,VIIRS,n,1,293.8,5,0
-21.50427,-59.87258,342.4,0.57,0.52,2018-10-20,1706,N,VIIRS,n,1,286.1,11.3,0
-21.33002,-58.44173,346.9,0.47,0.47,2018-10-20,1706,N,VIIRS,n,1,286.9,8.1,0
-21.33052,-58.4463,345.2,0.47,0.47,2018-10-20,1706,N,VIIRS,n,1,287,8.5,0
-21.50204,-59.87515,342.2,0.57,0.52,2018-10-20,1706,N,VIIRS,n,1,285.8,13.1,0
-21.33159,-58.44491,345.4,0.46,0.47,2018-10-20,1706,N,VIIRS,n,1,287.1,9.4,0
-21.32665,-58.44091,328.8,0.46,0.47,2018-10-20,1706,N,VIIRS,n,1,283.4,2.9,0
-22.26444,-56.68822,310,0.36,0.57,2018-10-21,0418,N,VIIRS,n,1,288.1,1.1,0
-23.57898,-59.41782,304.8,0.5,0.65,2018-10-21,0419,N,VIIRS,n,1,286.4,1.1,0
-23.58014,-59.41291,309.4,0.5,0.65,2018-10-21,0419,N,VIIRS,n,1,286.9,1.1,0
-23.48422,-60.18711,300.5,0.55,0.68,2018-10-21,0419,N,VIIRS,n,1,286.4,1.8,0
-23.49046,-60.18897,323.8,0.55,0.68,2018-10-21,0419,N,VIIRS,n,1,286.8,1.8,0
-23.4967,-60.19083,304.2,0.55,0.68,2018-10-21,0419,N,VIIRS,n,1,286.6,1.4,0
-23.48549,-60.18756,307,0.55,0.68,2018-10-21,0419,N,VIIRS,n,1,286.8,2.5,0
-23.49173,-60.1894,321.6,0.55,0.68,2018-10-21,0419,N,VIIRS,n,1,286.8,2.5,0
-23.4931,-60.18392,302.2,0.55,0.68,2018-10-21,0419,N,VIIRS,n,1,286.5,2.1,0
-24.06936,-59.6946,321.6,0.5,0.66,2018-10-21,0419,N,VIIRS,n,1,286.4,2.2,0
